image_id,filename,model_dir,codec,ssim,psnr,msssim,msssim_db,entropy,bytes,bpp,layers,quantization,entropy_reg,codebook,latent,latent_shape,n_features
0,alberto-montalesi-176097.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.922616536207856,34.287553562191476,0.9843159289953679,18.04541200237547,2.2456297719039533,15518,0.47357177734375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
1,alejandro-escamilla-6.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8685910731551956,29.191292703065848,0.9785414021962314,16.683986600952142,2.47651732993838,18609,0.567901611328125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
2,ales-krivec-15949.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.937733010919986,32.336777339344145,0.9910186421039028,20.46657997163517,2.6409572875175398,19588,0.5977783203125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
3,alexander-shustov-73.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.7701733869640363,23.568140712922464,0.955949256766178,13.560467596781624,3.459987165143249,27916,0.8519287109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
4,allef-vinicius-109434.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.932703518672641,35.553967719893706,0.9872761260822713,18.95380643015319,1.8225583824189135,12786,0.39019775390625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
5,amy-zhang-15940.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8506786794753891,29.3466783576481,0.9747843492293468,15.98329818999727,2.451736738452399,18579,0.566986083984375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
6,andrew-ruiz-376.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8854192275029783,27.35006548538619,0.9811203368026163,17.240057575391397,3.1224389911612764,24825,0.757598876953125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
7,benjamin-sloth-lindgreen-705.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8613334465765844,29.59564913065386,0.9768097765147026,16.346950660250666,2.3811836911783497,17914,0.54669189453125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
8,casey-fyfe-999.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8902893052060502,34.5766772691919,0.9790459514569483,16.787320543187363,1.8025360515688609,12241,0.373565673828125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
9,clem-onojeghuo-33741.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.854496302981195,27.27483045662316,0.9686662933475567,15.039882267753807,2.8327665211240975,21453,0.654693603515625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
10,daniel-robert-405.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8582503579976845,27.63428304577667,0.9768739718726634,16.35898950476349,3.043927367107255,23925,0.730133056640625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
11,davide-ragusa-716.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9212520438662878,33.05320788156638,0.9821644422157766,17.487133041096268,1.9739044386297107,13281,0.405303955078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
12,dogancan-ozturan-395.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9038921237911404,27.245040020997745,0.9822008547595461,17.49600853099391,2.7968828765315106,21513,0.656524658203125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
13,felix-russell-saw-140699.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8973133148284748,31.46347209133609,0.9821594014115236,17.48590578249636,2.318704349627514,15742,0.48040771484375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
14,gian-reto-tarnutzer-45212.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8681966152830767,28.994991434032507,0.9779524222207515,16.566391166219923,2.9095644688518476,22345,0.681915283203125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
15,jared-erondu-21325.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.923131294372781,33.24083004995992,0.9838013901731053,17.90522255236049,1.9212514444320334,14067,0.429290771484375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
16,jason-briscoe-149782.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9580072284366229,30.96210001573922,0.9894165845877694,19.753741569397988,1.795252569010773,12160,0.37109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
17,jeremy-cai-1174.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9605963326055944,28.57226184956799,0.9906983594784656,20.314404485839844,2.9638804573918094,22859,0.697601318359375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
18,juskteez-vu-1041.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.6727251733202474,28.42180246873385,0.9371880542884392,12.019577533447531,2.6492740712802796,19179,0.585296630859375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
19,kazuend-28556.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9522893271649303,36.9671223764751,0.9899030521220005,19.958098856295216,1.555553982204958,9903,0.302215576171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
20,lobostudio-hamburg-75377.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8972566263484745,34.82134890661962,0.9859339994925383,18.518293712544917,1.745379465965963,12040,0.367431640625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
21,martin-wessely-211.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.7679706348730405,25.914221907570443,0.9591363226699924,13.88662553702858,3.1583030320504397,25047,0.764373779296875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
22,martyn-seddon-220.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8692843751969214,28.148977429394368,0.9699781415687699,15.225624273010528,2.37882123743553,18055,0.550994873046875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
23,michael-durana-82941.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9171266153227671,30.226706384276696,0.984321748025995,18.04702360042075,2.094222513525302,15680,0.478515625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
24,mullermarc-184.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.923525640970514,31.97292296540887,0.9868280749742131,18.803507499446198,2.6364917261429026,20403,0.622650146484375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
25,nomao-saeki-33553.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9265994353692562,33.266062070517705,0.9844124028908289,18.072208278937833,1.8265818936760274,12686,0.38714599609375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
26,paul-itkin-46101.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9119021023289414,24.542063036563814,0.98478255425585,18.176582379934384,3.1111310226350715,24540,0.7489013671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
27,philipp-reiner-207.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8181125354261997,27.726184390088633,0.9729042080997452,15.670981517973676,2.652279314127563,19860,0.6060791015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
28,philippe-wuyts-45997.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8032522654613237,27.888611810022432,0.96717398239971,14.837818019836265,2.9257242245972943,22500,0.6866455078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
29,roberto-nickson-48063.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.936344031150211,33.327591124048574,0.9855180808206508,18.39173880558024,2.0355311515804266,14090,0.42999267578125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
