image_id,filename,model_dir,codec,ssim,psnr,msssim,msssim_db,entropy,bytes,bpp,layers,quantization,entropy_reg,codebook,latent,latent_shape,n_features
0,kodim01.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.815028927149882,27.254713740305245,0.9651316055900864,14.575680501855025,3.0725486496683647,24527,0.748504638671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
1,kodim02.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8497223653758917,32.02474799431886,0.9677022616990318,14.908278887462966,2.499012515214563,17359,0.529754638671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
2,kodim03.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.914136120398329,33.98035682192428,0.983517940033713,17.829885101096284,1.881068793925467,14007,0.427459716796875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
3,kodim04.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8783102580029233,33.35651037432888,0.9756657158915278,16.137814257637434,2.2082855260363674,16444,0.5018310546875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
4,kodim05.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8700901021303151,26.419654113693404,0.9772648576667906,16.433023225526078,3.448863037186263,27599,0.842254638671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
5,kodim06.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8514969183813507,28.686264873941262,0.96902674433441,15.090131426158296,2.713432167032318,20964,0.6397705078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
6,kodim07.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9388544078654434,32.90601434174639,0.9883113677933559,19.32236306619311,2.283050735234172,17601,0.537139892578125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
7,kodim08.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.857973674199969,25.133126784106786,0.9755592659763999,16.11885755155665,3.4176519406325605,27282,0.83258056640625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
8,kodim09.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9126978955123842,33.138573516360125,0.9852209903971945,18.303546686778805,1.942698869394039,14669,0.447662353515625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
9,kodim10.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9079254712452264,32.50252111114373,0.9826701241413496,17.612045483129844,1.943288420339853,15004,0.4578857421875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
10,kodim11.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8604613526531043,29.070174148171176,0.973534023507184,15.773120775798377,2.649528206295498,21204,0.6470947265625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
11,kodim12.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8848864276119301,33.189684221993375,0.9754959059074972,16.107613485645153,2.2344082337275277,15832,0.483154296875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
12,kodim13.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.7841762356171772,24.202133939717157,0.9608626739642078,14.074088497963224,3.3748363544038518,27234,0.83111572265625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
13,kodim14.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8560235554879201,28.05992567541007,0.9743463681714052,15.908511423859528,3.0423504535018795,24169,0.737579345703125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
14,kodim15.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8499104961301226,31.25251969926436,0.9721316593516703,15.548888895116015,2.455911630820208,18347,0.559906005859375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
15,kodim16.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8803464685378694,31.904716589210164,0.9749122147434526,16.005376764022095,2.174816003031423,16801,0.512725830078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
16,kodim17.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9032482065008959,31.55863179691636,0.9820816415270481,17.467017792047578,2.32761755443647,17997,0.549224853515625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
17,kodim18.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8590759151914319,27.898956525512588,0.9744790281777149,15.931027919798774,2.8995653436450857,22698,0.69268798828125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
18,kodim19.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8870461811497901,29.42822667595358,0.9775922894559557,16.496025142316245,2.5421065125384583,20115,0.613861083984375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
19,kodim20.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9038200749749908,31.37739448003094,0.9863765532848938,18.657130025568783,2.169542084438763,15815,0.482635498046875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
20,kodim21.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8826076303480584,29.04504996420168,0.9799853261904432,16.98651483443658,2.5362575390860305,20034,0.61138916015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
21,kodim22.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8606501245681374,30.54484920609568,0.9742391886693669,15.890404630952917,2.44237185804245,19196,0.5858154296875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
22,kodim23.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9214303755218536,32.49413899490879,0.9850009924507854,18.239374762882544,2.073066388038323,15410,0.47027587890625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
23,kodim24.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8882536320742092,27.600171731016978,0.9794183144779034,16.865190618879186,2.6895969977937684,21584,0.65869140625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
0,kodim01.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9022483079787135,29.810628785554023,0.9841108051217687,17.98898108381046,2.9260267027800304,46974,1.43353271484375,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
1,kodim02.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8982246361085249,34.08686009110194,0.9790615235357591,16.790549218570202,2.1210423655240858,29908,0.9127197265625,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
2,kodim03.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9386768498981467,35.85968006383783,0.989027779222672,19.5970546233158,1.5518463387802135,23108,0.7052001953125,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
3,kodim04.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9190306902856314,35.37920242415396,0.9849414361142016,18.222164442185004,1.9094837926098749,28509,0.870025634765625,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
4,kodim05.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9301042975915644,29.049890052557608,0.9889082557939324,19.550001545264053,3.1456916089260347,50300,1.5350341796875,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
5,kodim06.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9131779027982372,31.209858724021302,0.9838947536737875,17.93032628354584,2.4916155358433776,38896,1.18701171875,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
6,kodim07.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9574496605520727,35.08204419920354,0.9925679220401022,21.2888974339334,1.867490286722486,28569,0.871856689453125,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
7,kodim08.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9155665549221531,27.436609853428315,0.9872949070011577,18.96022151649724,3.1987721733832033,51355,1.567230224609375,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
8,kodim09.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9282617506128293,35.16194415037913,0.9888914937005104,19.54344334353581,1.7156820645871875,26062,0.79534912109375,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
9,kodim10.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9284254521705079,34.496061254659296,0.9876590680784593,19.08652043455058,1.7231582073046008,26528,0.8095703125,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
10,kodim11.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9151851367006145,31.41797254391887,0.985450069068302,18.37139068262516,2.4280418106930535,38942,1.18841552734375,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
11,kodim12.png,8k-0.0050/,TwitterDCN-131072D/64x64x32-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9230556765105525,34.85161079997611,0.9846503488029157,18.139014889100963,1.9393413734246698,28368,0.86572265625,,soft-codebook-5bpf,250.0,soft-codebook,131072,64x64x32,32
