image_id,filename,model_dir,codec,ssim,psnr,msssim,msssim_db,entropy,bytes,bpp,layers,quantization,entropy_reg,codebook,latent,latent_shape,n_features
0,kodim01.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8429218588538472,28.29805726357013,0.9719013652124212,15.513147804018407,3.1390945652624027,25332,0.7730712890625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
1,kodim02.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.870847820119126,33.21611545616096,0.9713664358027796,15.431245892874411,2.7646309530696866,18460,0.5633544921875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
2,kodim03.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.933727011097159,35.765979856557955,0.9872980834440497,18.961307446444454,2.1473481528068716,15880,0.484619140625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
3,kodim04.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.892921304535947,34.30296984600033,0.9784327399657246,16.66205025392541,2.505942906467392,18253,0.557037353515625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
4,kodim05.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8984951638863906,27.95732428892167,0.9823946782387237,17.543560331970458,3.5393399032309274,28448,0.8681640625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
5,kodim06.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8809709295164195,29.903001227377235,0.9740499115196941,15.858611570277354,2.8881528564124013,22511,0.686981201171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
6,kodim07.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.95119089220678,34.36848786586894,0.9902396767595643,20.105357992172237,2.433407114214796,19000,0.579833984375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
7,kodim08.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8875338689794696,26.99079866496074,0.9816472513206951,17.362988825368166,3.495959384925839,28172,0.8597412109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
8,kodim09.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9236572048193613,34.774884269743794,0.9874310284251673,19.007002559375334,2.0958711800680763,16202,0.49444580078125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
9,kodim10.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9225532000527109,34.300836405876694,0.9855298451844586,18.395268223588026,2.142614793080414,16860,0.5145263671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
