image_id,filename,model_dir,codec,ssim,psnr,msssim,msssim_db,entropy,bytes,bpp,layers,quantization,entropy_reg,codebook,latent,latent_shape,n_features
0,md020a3e0aef.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9187153580160485,37.060420877715245,0.981990627548742,17.445014202012416,2.0225792779462957,14143,0.431610107421875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
1,md02d5ad379e.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.792415664472269,34.51275964676137,0.9603263509305605,14.014978525170756,1.973088413303183,11692,0.3568115234375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
2,md03780c491b.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.817021600738714,32.854469881872596,0.9619872357396064,14.20070547671704,2.473149754395315,17750,0.54168701171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
3,md0d3ca2e738.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.946372908820943,37.6270132797101,0.9855721092577975,18.407971551142936,1.610224779794114,12145,0.370635986328125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
4,md145099d889.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8990111973368383,27.93128359864398,0.9726230510317135,15.626149535749152,3.4211719831291827,26434,0.80670166015625,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
5,md1fda49419d.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9606797919537069,40.22267217382465,0.9900904741150521,20.039471235648318,1.415127918105731,8548,0.2608642578125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
6,md20b4f6dd81.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.8873207740140386,35.96706912748116,0.9732493699809193,15.726659852095484,1.9728168855884562,14385,0.438995361328125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
7,md3d2bc51ae0.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9661992565007895,35.44052658548574,0.9946379389112691,22.70668242507629,2.7848181855379686,20537,0.626739501953125,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
8,md490041966c.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9661432739585271,35.95445789172664,0.9929268514332319,21.50387219755817,2.7652935350335976,20591,0.628387451171875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
9,md4de1a9ae0f.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9438131295256955,39.17597030721826,0.9850100226731742,18.24199024045775,2.1354843343559966,12998,0.39666748046875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
10,md4f8f9597b4.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9471938788008912,37.60894954205365,0.990151745807428,20.0664075038882,1.8266457433989547,12187,0.371917724609375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
11,md575e5a225f.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9246088488483718,38.64909693756744,0.9800760632338186,17.006248452844673,1.6526354369594736,10063,0.307098388671875,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
12,md69742bf9b2.png,4k-0.5000/,TwitterDCN-65536D/64x64x16-r:soft-codebook-Q-5.0bpf-S+-H+250.00,0.9446294073952624,39.11456486297348,0.9862560509973716,18.618884649736998,1.462371937190237,9550,0.29144287109375,,soft-codebook-5bpf,250.0,soft-codebook,65536,64x64x16,16
