image_id,filename,codec,quality,ssim,psnr,msssim,msssim_db,bytes,bpp
0,md020a3e0aef.png,jpeg,95,0.9708267965244652,42.44315748357682,0.9969558463495451,25.165334307908857,112483,3.432708740234375
0,md020a3e0aef.png,jpeg,90,0.9594539569144075,40.94447547242643,0.9952823662572797,23.262757789421347,73634,2.24713134765625
0,md020a3e0aef.png,jpeg,85,0.9509740807203171,40.065273027469736,0.9938248427743992,22.0935198036116,56783,1.732879638671875
0,md020a3e0aef.png,jpeg,80,0.942809845037447,39.35051061806435,0.992292555117589,21.13089572323197,46544,1.42041015625
0,md020a3e0aef.png,jpeg,75,0.9351509786927278,38.735929628193986,0.990663064147357,20.297956249072826,39158,1.19500732421875
0,md020a3e0aef.png,jpeg,70,0.9289032472989618,38.27901746618221,0.9893003828379706,19.70631761323443,34701,1.058990478515625
0,md020a3e0aef.png,jpeg,65,0.9221352716082459,37.811405174871524,0.9877179416687262,19.10728844350839,30892,0.9427490234375
0,md020a3e0aef.png,jpeg,60,0.91690813825852,37.48210519918927,0.9863704366467833,18.655180573220463,28220,0.8612060546875
0,md020a3e0aef.png,jpeg,55,0.9108472113865065,37.119020042394645,0.9847880532467098,18.17815203428265,26025,0.794219970703125
0,md020a3e0aef.png,jpeg,50,0.9055968068609141,36.816209300366815,0.9834177757883308,17.8035721696619,24228,0.7393798828125
0,md020a3e0aef.png,jpeg,45,0.8998912220552363,36.48596024759882,0.9817894796005312,17.39677643255691,22595,0.689544677734375
0,md020a3e0aef.png,jpeg,40,0.8921842900256906,36.07124294660206,0.9796294301598237,16.9099682200707,20778,0.63409423828125
0,md020a3e0aef.png,jpeg,35,0.8832778534248193,35.6249705722937,0.9768799041785524,16.36010370310345,19297,0.588897705078125
0,md020a3e0aef.png,jpeg,30,0.873668569633585,35.12851243778848,0.973544289848432,15.774805761932411,17558,0.53582763671875
0,md020a3e0aef.png,jpeg,25,0.8597612219418075,34.47456228958248,0.9689028588298307,15.072795348023838,15847,0.483612060546875
0,md020a3e0aef.png,jpeg,20,0.8387826427333293,33.5918548978004,0.9605850513298538,14.043390346798564,14087,0.429901123046875
0,md020a3e0aef.png,jpeg,15,0.8078823971719619,32.312293313877205,0.9470449688965742,12.760927725412346,12434,0.37945556640625
0,md020a3e0aef.png,jpeg,10,0.7552527979948748,30.36316182126874,0.9191032494094352,10.920689225030415,10623,0.324188232421875
1,md02d5ad379e.png,jpeg,95,0.9387712826326772,39.49149211211127,0.9933007451738394,21.73973502207324,130626,3.98638916015625
1,md02d5ad379e.png,jpeg,90,0.9039205399852972,37.650355928861,0.988098464384496,19.243969994214762,79087,2.413543701171875
1,md02d5ad379e.png,jpeg,85,0.8826719022617371,36.83412952456955,0.9843408167537524,18.052308936764234,58607,1.788543701171875
1,md02d5ad379e.png,jpeg,80,0.8667604741181559,36.304187051533,0.981013782447745,17.215615471009183,46846,1.42962646484375
1,md02d5ad379e.png,jpeg,75,0.8526960965885254,35.868472675694136,0.9777245302757565,16.52173129199231,38404,1.1719970703125
1,md02d5ad379e.png,jpeg,70,0.8411316785051907,35.53541013268989,0.9749826481301634,16.017586630352273,32819,1.001556396484375
1,md02d5ad379e.png,jpeg,65,0.828884150826068,35.210422391937556,0.9717520467016908,15.490130134534333,28012,0.8548583984375
